ar,count,current_en,note,en
الربيعي,1,,no-evidence,
الرضاوين,1,,no-evidence,
الزاغه,1,,no-evidence,
الزكاكته,1,,no-evidence,
الزنه,1,,no-evidence,
السكران,1,,no-evidence,
السلاق,1,,no-evidence,
السماري,1,,no-evidence,
السملوسي,1,,no-evidence,
السندي,1,,no-evidence,
الشحاد,1,,no-evidence,
الشقرا,1,,no-evidence,
الشلحه,1,,no-evidence,
الشناوي,1,,no-evidence,
الصرفندي,1,,no-evidence,
الضحيك,1,,no-evidence,
الطيماوي,1,,no-evidence,
العدسي,1,,no-evidence,
العدوي,1,,no-evidence,
العرور,1,,no-evidence,
القبطي,1,,no-evidence,
القبلان,1,,no-evidence,
القديرات,1,,no-evidence,
القرشلي,1,,no-evidence,
القوي,1,,no-evidence,
الكفراوي,1,,no-evidence,
اللبابده,1,,no-evidence,
المبييض,1,,no-evidence,
المدقه,1,,no-evidence,
المسارعه,1,,no-evidence,
المسالمه,1,,no-evidence,
المقاطعه,1,,no-evidence,
المقرع,1,,no-evidence,
المنشاوي,1,,no-evidence,
النشوي,1,,no-evidence,
النميلات,1,,no-evidence,
النميلي,1,,no-evidence,
الهابط,1,,no-evidence,
الوالى,1,,no-evidence,
انتظام,1,,no-evidence,
انتيفه,1,,no-evidence,
اهلال,1,,no-evidence,
بسيوني,1,,no-evidence,
بشاير,1,,no-evidence,
بشيره,1,,no-evidence,
بليغ,1,,no-evidence,
بيلا,1,,no-evidence,
تاح,1,,no-evidence,
ترنيم,1,,no-evidence,
جرابعه,1,,no-evidence,
جرابيع,1,,no-evidence,
جفرا,1,,no-evidence,
جورية,1,,no-evidence,
جوليانا,1,,no-evidence,
جوهرة,1,,no-evidence,
حبايب,1,,no-evidence,
حبرون,1,,no-evidence,
حسيني,1,,no-evidence,
حكمه,1,,no-evidence,
حمايده,1,,no-evidence,
حمودي,1,,no-evidence,
حوتي,1,,no-evidence,
خربق,1,,no-evidence,
خروبي,1,,no-evidence,
خصيوان,1,,no-evidence,
دبله,1,,no-evidence,
دراوشه,1,,no-evidence,
دربي,1,,no-evidence,
راسل,1,,no-evidence,
رانا,1,,no-evidence,
رداد,1,,no-evidence,
رديف,1,,no-evidence,
رزينه,1,,no-evidence,
رعيه,1,,no-evidence,
رهيب,1,,no-evidence,
رينيه,1,,no-evidence,
ريهاف,1,,no-evidence,
زعنونه,1,,no-evidence,
زعيزع,1,,no-evidence,
زقلام,1,,no-evidence,
زوزي,1,,no-evidence,
سالمان,1,,no-evidence,
ساني,1,,no-evidence,
سباعنه,1,,no-evidence,
سريا,1,,no-evidence,
سطريه,1,,no-evidence,
سلا,1,,no-evidence,
سيدة,1,,no-evidence,
شايقه,1,,no-evidence,
شجاع,1,,no-evidence,
شرهان,1,,no-evidence,
شليح,1,,no-evidence,
شمة,1,,no-evidence,
شمعون,1,,no-evidence,
شنين,1,,no-evidence,
شهيناز,1,,no-evidence,
صبوح,1,,no-evidence,
صفيناز,1,,no-evidence,
صقير,1,,no-evidence,
صياح,1,,no-evidence,
ضاحي,1,,no-evidence,
طواحين,1,,no-evidence,
عاروري,1,,no-evidence,
عتيله,1,,no-evidence,
عربس,1,,no-evidence,
عرف,1,,no-evidence,
عزير,1,,no-evidence,
عسلان,1,,no-evidence,
عصعوص,1,,no-evidence,
عطار,1,,no-evidence,
عطره,1,,no-evidence,
عفيفي,1,,no-evidence,
عمادة,1,,no-evidence,
عويدات,1,,no-evidence,
غروب,1,,no-evidence,
غصن,1,,no-evidence,
غواش,1,,no-evidence,
غيظان,1,,no-evidence,
فاره,1,,no-evidence,
فاعور,1,,no-evidence,
فاهر,1,,no-evidence,
فرهود,1,,no-evidence,
فيفي,1,,no-evidence,
قتاده,1,,no-evidence,
قرعه,1,,no-evidence,
قريق,1,,no-evidence,
قطيعه,1,,no-evidence,
كشتر,1,,no-evidence,
لحسن,1,,no-evidence,
لمضى,1,,no-evidence,
لمضي,1,,no-evidence,
لواء,1,,no-evidence,
لوقه,1,,no-evidence,
مازري,1,,no-evidence,
مبتسم,1,,no-evidence,
مختار,1,,no-evidence,
مداح,1,,no-evidence,
مرثد,1,,no-evidence,
مرعب,1,,no-evidence,
مشيره,1,,no-evidence,
مضر,1,,no-evidence,
مضيه,1,,no-evidence,
مطران,1,,no-evidence,
منتزه,1,,no-evidence,
منزر,1,,no-evidence,
مهتاب,1,,no-evidence,
نجوم,1,,no-evidence,
نسيان,1,,no-evidence,
نصوحي,1,,no-evidence,
نظيف,1,,no-evidence,
نميلات,1,,no-evidence,
نهاز,1,,no-evidence,
نوادر,1,,no-evidence,
نورس,1,,no-evidence,
هلاله,1,,no-evidence,
هيموني,1,,no-evidence,
وفا,1,,no-evidence,
ولايده,1,,no-evidence,
يزدان,1,,no-evidence,
ابواسماعيل,0,abwasamaail,legacy-unreviewed,
ابوالعيش,0,abual-eish,legacy-unreviewed,
ابواللبن,0,abual-laban,legacy-unreviewed,
ابوعبيد,0,abuobaid,legacy-unreviewed,
ابولبن,2,abolbn,legacy-unreviewed,
ابومحارب,0,abomaharab,legacy-unreviewed,
ابومحيسن,0,abu-muhaisen,legacy-unreviewed,
ابومصطفى,0,abumustafa,legacy-unreviewed,
ابوهلال,0,abuhilal,legacy-unreviewed,
حاكم,1,hakam,legacy-unreviewed,
عمادالدين,0,emadal-deen,legacy-unreviewed,
